index,brand,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit
0,Nissan,TEANA_250_XV_V6_SUNROOF_NAVIGATION_2.5,2010,250900,THB,250103,Automatic,4161,THB/MONTH
1,Honda,CR-V_S_2.0,2013,398900,THB,173527,Automatic,6616,THB/MONTH
2,MG,HS_PHEV_1.5,2020,682900,THB,30378,Automatic,11326,THB/MONTH
3,Ford,EVEREST_TITANIUM+_2.2,2017,685900,THB,135937,Automatic,11376,THB/MONTH
4,Subaru,XV_I-P_2.0,2017,506900,THB,142766,Automatic,8407,THB/MONTH
5,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2020,804900,THB,78647,Automatic,13349,THB/MONTH
6,Nissan,JUKE_V_1.6,2014,330900,THB,160743,Automatic,5488,THB/MONTH
7,MG,HS_X_SUNROOF_1.5,2019,523900,THB,89617,Automatic,8689,THB/MONTH
8,Mazda,3_SP_SPORTS_2.0,2014,435900,THB,165945,Automatic,7229,THB/MONTH
9,Mazda,CX-5_TURBO_SP_(4WD)_2.5,2019,1138900,THB,24085,Automatic,18889,THB/MONTH
10,MG,HS_X_SUNROOF_1.5,2020,538900,THB,80034,Automatic,8938,THB/MONTH
11,Isuzu,D-MAX_CAB-4_HI-LANDER_X-SERIES_Z_2.5,2015,508900,THB,153278,Manual,8440,THB/MONTH
12,Toyota,COROLLA_ALTIS_G_1.6,2019,502900,THB,108869,Automatic,8341,THB/MONTH
13,Isuzu,D-MAX_BLUE_POWER_CAB-4_HI-LANDER_DDI_Z-PRESTIGE_3.0,2019,630900,THB,110049,Manual,10463,THB/MONTH
14,Mitsubishi,XPANDER_GT_1.5,2018,568900,THB,122056,Automatic,9435,THB/MONTH
15,MG,ZS_X_1.5,2018,435900,THB,98543,Automatic,7229,THB/MONTH
16,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2018,667900,THB,102122,Automatic,11077,THB/MONTH
17,Honda,CITY_V_1.5,2019,471900,THB,108424,Automatic,7826,THB/MONTH
18,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,357900,THB,51736,Automatic,5936,THB/MONTH
19,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1043900,THB,113579,Automatic,17313,THB/MONTH
20,Nissan,JUKE_V_1.6,2014,326900,THB,108661,Automatic,5422,THB/MONTH
21,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GT_PREMIUM_2.4,2018,573900,THB,143895,Manual,9518,THB/MONTH
22,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2019,487900,THB,54979,Manual,8092,THB/MONTH
23,Mitsubishi,ATTRAGE_GLS_1.2,2018,310900,THB,96222,Automatic,5156,THB/MONTH
24,Mitsubishi,MIRAGE_GLX_1.2,2018,300900,THB,104585,Automatic,4990,THB/MONTH
25,Ford,EVEREST_LTD_TDCI_4WD_3.0,2009,265900,THB,274099,Automatic,4410,THB/MONTH
26,Nissan,JUKE_V_1.6,2015,361900,THB,127291,Automatic,6002,THB/MONTH
27,Toyota,CAMRY_G_2.0,2016,607900,THB,156835,Automatic,10082,THB/MONTH
28,Toyota,VIOS_J_1.5,2018,393900,THB,135362,Automatic,6533,THB/MONTH
29,Mitsubishi,XPANDER_GLS_LIMITED_1.5,2018,531900,THB,106258,Automatic,8822,THB/MONTH
30,Toyota,CAMRY_G_2.0,2019,903900,THB,101500,Automatic,14991,THB/MONTH
31,MG,MG3_V_SUNROOF_1.5,2017,255900,THB,61986,Automatic,4244,THB/MONTH
32,Toyota,VIOS_E_1.5,2018,403900,THB,114967,Automatic,6699,THB/MONTH
33,Subaru,FORESTER_I-S_2.0,2019,871900,THB,82483,Automatic,14460,THB/MONTH
34,Toyota,YARIS_ATIV_J_1.2,2018,359900,THB,102605,Automatic,5969,THB/MONTH
35,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2017,484900,THB,133695,Automatic,8042,THB/MONTH
36,Honda,HR-V_RS_1.8,2019,742900,THB,79126,Automatic,12321,THB/MONTH
37,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2WD_2.4,2019,976900,THB,91051,Automatic,16202,THB/MONTH
38,Toyota,CAMRY_G_EXTREMO_2.0,2018,779900,THB,50423,Automatic,12935,THB/MONTH
39,Honda,MOBILIO_RS_1.5,2019,519900,THB,80251,Automatic,8623,THB/MONTH
40,MG,MG3_X_1.5,2016,251900,THB,77958,Automatic,4178,THB/MONTH
41,MG,ZS_X_1.5,2019,450900,THB,103200,Automatic,7478,THB/MONTH
42,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2014,336900,THB,152688,Manual,5587,THB/MONTH
43,Mazda,3_E_2.0,2018,454900,THB,140058,Automatic,7545,THB/MONTH
44,Honda,CITY_V+_1.5,2016,425900,THB,96805,Automatic,7064,THB/MONTH
45,Toyota,VIOS_J_1.5,2018,393900,THB,122749,Automatic,6533,THB/MONTH
46,Toyota,VIOS_E_1.5,2018,403900,THB,137246,Automatic,6699,THB/MONTH
47,Toyota,CAMRY_G_2.0,2018,681900,THB,136630,Automatic,11309,THB/MONTH
48,Mazda,3_E_2.0,2018,454900,THB,142911,Automatic,7545,THB/MONTH
49,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2018,482900,THB,62960,Manual,8009,THB/MONTH
50,Honda,BR-V_SV_1.5,2017,466900,THB,163096,Automatic,7744,THB/MONTH
51,Mitsubishi,XPANDER_GLS_LIMITED_1.5,2018,531900,THB,59857,Automatic,8822,THB/MONTH
52,Mitsubishi,ATTRAGE_GLX_1.2,2019,308900,THB,84525,Automatic,5123,THB/MONTH
53,Toyota,SIENTA_V_1.5,2018,528900,THB,123738,Automatic,8772,THB/MONTH
54,Subaru,XV_I_2.0,2014,417900,THB,157276,Automatic,6931,THB/MONTH
55,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,468900,THB,113726,Manual,7777,THB/MONTH
56,Toyota,VIOS_G_1.5,2013,326900,THB,76253,Automatic,5422,THB/MONTH
57,Isuzu,"D-MAX_CAB-4_HI-LANDER_DDI_Z-PRESTIGE_(VGS,_NAVI)_2.5",2013,433900,THB,165858,Automatic,7196,THB/MONTH
58,Honda,BR-V_SV_1.5,2016,440900,THB,133373,Automatic,7312,THB/MONTH
59,Suzuki,SWIFT_GL_1.2,2013,273900,THB,101465,Automatic,4543,THB/MONTH
