,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
0,0,BMW,5_30E_ELITE_2.0,2019,1736900,THB,35287,Automatic,28806,THB/MONTH,BMW,Germany
1,0,BMW,5_30E_ELITE_2.0,2019,1736900,THB,35287,Automatic,28806,THB/MONTH,BMW,Germany
2,0,BMW,5_30E_ELITE_2.0,2019,1736900,THB,35287,Automatic,28806,THB/MONTH,BMW,Germany
3,0,BMW,5_30E_ELITE_2.0,2019,1771900,THB,35287,Automatic,29387,THB/MONTH,BMW,Germany
4,0,BMW,5_30E_ELITE_2.0,2019,1771900,THB,35287,Automatic,29387,THB/MONTH,BMW,Germany
5,1,Ford,EVEREST_TITANIUM+_2.0,2018,898900,THB,104308,Automatic,14908,THB/MONTH,Ford,USA
6,1,Ford,EVEREST_TITANIUM+_2.0,2018,898900,THB,104308,Automatic,14908,THB/MONTH,Ford,USA
7,1,Ford,EVEREST_TITANIUM+_2.0,2018,898900,THB,104308,Automatic,14908,THB/MONTH,Ford,USA
8,1,Ford,EVEREST_TITANIUM+_2.0,2018,916900,THB,104308,Automatic,15207,THB/MONTH,Ford,USA
9,1,Ford,EVEREST_TITANIUM+_2.0,2018,916900,THB,104308,Automatic,15207,THB/MONTH,Ford,USA
10,2,Toyota,CAMRY_G_2.5,2017,746900,THB,148021,Automatic,12387,THB/MONTH,Toyota,Japan
11,2,Toyota,CAMRY_G_2.5,2017,746900,THB,148021,Automatic,12387,THB/MONTH,Toyota,Japan
12,2,Toyota,CAMRY_G_2.5,2017,746900,THB,148021,Automatic,12387,THB/MONTH,Toyota,Japan
13,2,Toyota,CAMRY_G_2.5,2017,761900,THB,148021,Automatic,12636,THB/MONTH,Toyota,Japan
14,2,Toyota,CAMRY_G_2.5,2017,761900,THB,148021,Automatic,12636,THB/MONTH,Toyota,Japan
15,3,Honda,CR-V_EL_4WD_1.6,2017,862900,THB,59133,Automatic,14311,THB/MONTH,Honda,Japan
16,3,Honda,CR-V_EL_4WD_1.6,2017,862900,THB,59133,Automatic,14311,THB/MONTH,Honda,Japan
17,3,Honda,CR-V_EL_4WD_1.6,2017,862900,THB,59133,Automatic,14311,THB/MONTH,Honda,Japan
18,3,Honda,CR-V_EL_4WD_1.6,2017,880900,THB,59133,Automatic,14610,THB/MONTH,Honda,Japan
19,3,Honda,CR-V_EL_4WD_1.6,2017,880900,THB,59133,Automatic,14610,THB/MONTH,Honda,Japan
20,4,Toyota,CAMRY_G_2.5,2019,979900,THB,107436,Automatic,16252,THB/MONTH,Toyota,Japan
21,4,Toyota,CAMRY_G_2.5,2019,979900,THB,107436,Automatic,16252,THB/MONTH,Toyota,Japan
22,4,Toyota,CAMRY_G_2.5,2019,979900,THB,107436,Automatic,16252,THB/MONTH,Toyota,Japan
23,4,Toyota,CAMRY_G_2.5,2019,999900,THB,107436,Automatic,16583,THB/MONTH,Toyota,Japan
24,4,Toyota,CAMRY_G_2.5,2019,999900,THB,107436,Automatic,16583,THB/MONTH,Toyota,Japan
25,5,Honda,CR-V_E_2WD_2.4,2017,786900,THB,125410,Automatic,13051,THB/MONTH,Honda,Japan
26,5,Honda,CR-V_E_2WD_2.4,2017,786900,THB,125410,Automatic,13051,THB/MONTH,Honda,Japan
27,5,Honda,CR-V_E_2WD_2.4,2017,786900,THB,125410,Automatic,13051,THB/MONTH,Honda,Japan
28,5,Honda,CR-V_E_2WD_2.4,2017,802900,THB,125410,Automatic,13316,THB/MONTH,Honda,Japan
29,5,Honda,CR-V_E_2WD_2.4,2017,802900,THB,125410,Automatic,13316,THB/MONTH,Honda,Japan
30,6,Honda,HR-V_EL_1.8,2014,520900,THB,45343,Automatic,8639,THB/MONTH,Honda,Japan
31,6,Honda,HR-V_EL_1.8,2014,520900,THB,45343,Automatic,8639,THB/MONTH,Honda,Japan
32,6,Honda,HR-V_EL_1.8,2014,520900,THB,45343,Automatic,8639,THB/MONTH,Honda,Japan
33,6,Honda,HR-V_EL_1.8,2014,531900,THB,45343,Automatic,8822,THB/MONTH,Honda,Japan
34,6,Honda,HR-V_EL_1.8,2014,531900,THB,45343,Automatic,8822,THB/MONTH,Honda,Japan
35,7,Honda,CR-V_EL_4WD_1.6,2017,879900,THB,121321,Automatic,14593,THB/MONTH,Honda,Japan
36,7,Honda,CR-V_EL_4WD_1.6,2017,879900,THB,121321,Automatic,14593,THB/MONTH,Honda,Japan
37,7,Honda,CR-V_EL_4WD_1.6,2017,879900,THB,121321,Automatic,14593,THB/MONTH,Honda,Japan
38,7,Honda,CR-V_EL_4WD_1.6,2017,897900,THB,121321,Automatic,14892,THB/MONTH,Honda,Japan
39,7,Honda,CR-V_EL_4WD_1.6,2017,897900,THB,121321,Automatic,14892,THB/MONTH,Honda,Japan
40,8,Toyota,CAMRY_G_2.0,2016,574900,THB,112284,Automatic,9535,THB/MONTH,Toyota,Japan
41,8,Toyota,CAMRY_G_2.0,2016,574900,THB,112284,Automatic,9535,THB/MONTH,Toyota,Japan
42,8,Toyota,CAMRY_G_2.0,2016,574900,THB,112284,Automatic,9535,THB/MONTH,Toyota,Japan
43,8,Toyota,CAMRY_G_2.0,2016,586900,THB,112284,Automatic,9734,THB/MONTH,Toyota,Japan
44,8,Toyota,CAMRY_G_2.0,2016,586900,THB,112284,Automatic,9734,THB/MONTH,Toyota,Japan
45,9,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2019,945900,THB,115366,Automatic,15688,THB/MONTH,Mitsubishi,Japan
46,9,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2019,945900,THB,115366,Automatic,15688,THB/MONTH,Mitsubishi,Japan
47,9,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2019,945900,THB,115366,Automatic,15688,THB/MONTH,Mitsubishi,Japan
48,9,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2019,964900,THB,115366,Automatic,16003,THB/MONTH,Mitsubishi,Japan
49,9,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2019,964900,THB,115366,Automatic,16003,THB/MONTH,Mitsubishi,Japan
50,10,Honda,HR-V_E_LIMITED_1.8,2016,531900,THB,163156,Automatic,8822,THB/MONTH,Honda,Japan
51,10,Honda,HR-V_E_LIMITED_1.8,2016,531900,THB,163156,Automatic,8822,THB/MONTH,Honda,Japan
52,10,Honda,HR-V_E_LIMITED_1.8,2016,531900,THB,163156,Automatic,8822,THB/MONTH,Honda,Japan
53,10,Honda,HR-V_E_LIMITED_1.8,2016,542900,THB,163156,Automatic,9004,THB/MONTH,Honda,Japan
54,10,Honda,HR-V_E_LIMITED_1.8,2016,542900,THB,163156,Automatic,9004,THB/MONTH,Honda,Japan
55,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
56,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
57,11,Ford,EVEREST_TITANIUM+_2.2,2017,817900,THB,104070,Automatic,13565,THB/MONTH,Ford,USA
58,11,Ford,EVEREST_TITANIUM+_2.2,2017,834900,THB,104070,Automatic,13847,THB/MONTH,Ford,USA
59,11,Ford,EVEREST_TITANIUM+_2.2,2017,834900,THB,104070,Automatic,13847,THB/MONTH,Ford,USA
60,12,Mazda,CX-5_SP_2.0,2019,814900,THB,109150,Automatic,13515,THB/MONTH,Mazda,Japan
